,accuracy,nn_diff_median,nn_diff_mean,nn_acc,avg_items_closer_than_NN,nn_diff_p99,nn_diff_p98,nn_diff_p95,nn_diff_p90,nn_diff_p80,nn_diff_p70,nn_diff_p60,nn_diff_p50,nn_diff_p40,nn_diff_p30,nn_diff_p20,nn_diff_p10,nn_diff_p5,nn_diff_p2,nn_diff_p1,embedding_error,embedding_rel_error,procrustes_disparity,nn_acc_radius_0,nn_acc_radius_1,nn_acc_radius_2,nn_acc_radius_3,nn_acc_radius_4,nn_acc_radius_5,nn_acc_radius_6,nn_acc_radius_7,nn_acc_radius_8,nn_acc_radius_9,nn_acc_radius_10,nn_acc_radius_11,nn_acc_radius_12,nn_acc_radius_13,nn_acc_radius_14,nn_acc_radius_15,nn_acc_radius_16,nn_acc_radius_17,nn_acc_radius_18,nn_acc_radius_19,nn_acc_radius_20,nn_acc_radius_21,nn_acc_radius_22,nn_acc_radius_23,nn_acc_radius_24,nn_acc_radius_25,nn_acc_radius_26,nn_acc_radius_27,nn_acc_radius_28,nn_acc_radius_29,dist_rel_error,meta__len_X_train,meta__len_X_test,meta__n_train,meta__n_test,meta__n,meta__d,meta__num_ans,meta__sampling,meta__shuffle_seed,meta__noise_model,meta__est__random_state,meta__est__max_epochs,meta__est__noise_model,meta__ident_k,meta__est__module__mu,meta__est__verbose,meta__meta__alg,meta__meta__vary,meta__meta__fname,meta__rate,meta__meta__sampling_seed,meta__priority
375,0.8150543393580555,3.0,2.977777777777778,0.12222222222222222,44.077777777777776,8.11,7.219999999999999,7.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4668117348417267,0.4668117348417268,0.21791319578594257,0.12222222222222222,0.23333333333333334,0.4444444444444444,0.6444444444444445,0.7666666666666667,0.9111111111111111,0.9333333333333333,0.9777777777777777,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371101766661176,5400,60000,5400,60000,90,2,5400,salmon,,CKL,701,4000000,CKL,474,0.05,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=1000-1_responses.csv.zip,,,
376,0.8313512776565909,0.0,0.8555555555555555,0.5333333333333333,43.577777777777776,3.0,3.0,2.549999999999997,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46681173484173166,0.4668117348417317,0.2179131957859472,0.5333333333333333,0.6666666666666666,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371101766661721,5400,60000,5400,60000,90,2,5400,salmon,,CKL,701,4000000,CKL,492,0.05,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=3-1_responses.csv.zip,,,
377,0.8256320115300717,1.0,1.5888888888888888,0.3333333333333333,2.1,5.109999999999999,5.0,4.0,3.1000000000000085,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3291839848002785,0.32918398480027855,0.10836209584898997,0.3333333333333333,0.5111111111111111,0.7222222222222222,0.9,0.9555555555555556,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6246842608011028,5400,60000,5400,60000,90,2,5400,salmon,,CKL,701,4000000,CKL,510,0.05,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=30-1_responses.csv.zip,,,
378,0.8251460735431598,2.0,1.9111111111111112,0.26666666666666666,3.433333333333333,7.219999999999999,6.219999999999999,4.549999999999997,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18585723747646907,0.1858572374764691,0.03454291272238462,0.26666666666666666,0.43333333333333335,0.7111111111111111,0.8111111111111111,0.9444444444444444,0.9666666666666667,0.9777777777777777,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37944738299214076,5400,60000,5400,60000,90,2,5400,salmon,,CKL,701,4000000,CKL,528,0.05,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=300-1_responses.csv.zip,,,
379,0.8305624805235275,1.0,1.1444444444444444,0.43333333333333335,7.211111111111111,4.0,3.219999999999999,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3271318301683727,0.3271318301683728,0.10701523430930907,0.43333333333333335,0.6111111111111112,0.8333333333333334,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6140582545868519,9000,60000,9000,60000,90,2,9000,salmon,,TSTE,701,4000000,TSTE,550,,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=1000-n_top=1-1_responses.csv.zip,,,
380,0.8108737145528202,1.0,1.5777777777777777,0.36666666666666664,43.18888888888889,7.0,7.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4668117348417388,0.4668117348417389,0.21791319578595386,0.36666666666666664,0.5333333333333333,0.7444444444444445,0.8888888888888888,0.9555555555555556,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371101766661898,4500,60000,4500,60000,90,2,4500,salmon,,TSTE,701,4000000,TSTE,617,,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=30000-n_top=1-1_responses.csv.zip,,,
381,0.8134066297912123,0.0,0.7222222222222222,0.6111111111111112,38.63333333333333,3.0,2.219999999999999,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46681173484173516,0.4668117348417352,0.21791319578595045,0.6111111111111112,0.6888888888888889,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9371101766661744,8100,60000,8100,60000,90,2,8100,salmon,,TSTE,701,4000000,TSTE,639,,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=1-1_responses.csv.zip,,,
382,0.8255472888750389,1.0,1.2222222222222223,0.4888888888888889,11.188888888888888,5.329999999999998,5.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21591619403376516,0.2159161940337652,0.04661980284602653,0.4888888888888889,0.6222222222222222,0.8222222222222222,0.9111111111111111,0.9666666666666667,0.9888888888888889,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3285672362878961,9000,60000,9000,60000,90,2,9000,salmon-tste,,CKL,701,4000000,CKL,64,0.05,40000,TSTE,search,salmon/io/2021-05-26-search/TSTE-n_search=100000-1_responses.csv.zip,,,
383,0.8201932066064195,2.0,2.6666666666666665,0.1111111111111111,4.611111111111111,7.219999999999999,7.0,6.549999999999997,6.0,4.0,3.299999999999997,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21016488838824188,0.2101648883882419,0.04416928031124215,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.7,0.8333333333333334,0.8777777777777778,0.9444444444444444,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4177848156375197,3600,60000,3600,60000,90,2,3600,salmon,,TSTE,701,4000000,TSTE,670,,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=100-1_responses.csv.zip,,,
384,0.8228556403864132,2.0,1.8111111111111111,0.28888888888888886,9.866666666666667,7.109999999999999,6.219999999999999,5.549999999999997,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27780484363438734,0.2778048436343874,0.0771755311467264,0.28888888888888886,0.4666666666666667,0.7111111111111111,0.8888888888888888,0.9222222222222223,0.9444444444444444,0.9777777777777777,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5034494328346708,2700,60000,2700,60000,90,2,2700,salmon,,TSTE,701,4000000,TSTE,705,,40000,ARR,rate,salmon/io/2021-07-01-arr-search/ARR-n_search=352440-n_top=3-1_responses.csv.zip,,,
